Station Id,Station,Précédent,Suivant,Temps entre 2 stations,Temps de Changement
176,Botzaris,Buttes Chaumont,Place des Fêtes,1.0,
177,Place des Fêtes,Botzaris,Pré-Saint-Gervais,2.0,
178,Pré-Saint-Gervais,Place des Fêtes,Danube,3.0,
179,Danube,Pré-Saint-Gervais,Botzaris,1.0,
180,Botzaris,Danube,Balard,2.0,
181,Balard,Botzaris,Lourmel,1.0,
182,Lourmel,Balard,Boucicaut,2.0,
183,Boucicaut,Lourmel,Félix Faure,1.0,
184,Félix Faure,Boucicaut,Commerce,2.0,
185,Commerce,Félix Faure,La Motte-Picquet - Grenelle,3.0,
186,La Motte-Picquet - Grenelle,Commerce,Ecole Militaire,2.0,3.0
187,Ecole Militaire,La Motte-Picquet - Grenelle,La Tour-Maubourg,1.0,
188,La Tour-Maubourg,Ecole Militaire,Invalides,2.0,
189,Invalides,La Tour-Maubourg,Concorde,2.0,2.0
190,Concorde,Invalides,Madeleine,3.0,2.0
191,Madeleine,Concorde,Opéra,1.0,1.0
192,Opéra,Madeleine,Richelieu - Drouot,2.0,3.0
193,Richelieu - Drouot,Opéra,Grands Boulevards,1.0,2.0
194,Grands Boulevards,Richelieu - Drouot,Bonne Nouvelle,2.0,
195,Bonne Nouvelle,Grands Boulevards,Strasbourg - Saint-Denis,1.0,
196,Strasbourg - Saint-Denis,Bonne Nouvelle,République,1.0,2.0
197,République,Strasbourg - Saint-Denis,Filles du Calvaire,2.0,3.0
198,Filles du Calvaire,République,Saint-Sébastien - Froissart,1.0,
199,Saint-Sébastien - Froissart,Filles du Calvaire,Chemin Vert,1.0,
200,Chemin Vert,Saint-Sébastien - Froissart,Bastille,1.0,
201,Bastille,Chemin Vert,Ledru-Rollin,2.0,2.0
202,Ledru-Rollin,Bastille,Faidherbe - Chaligny,3.0,
203,Faidherbe - Chaligny,Ledru-Rollin,Reuilly - Diderot,3.0,
204,Reuilly - Diderot,Faidherbe - Chaligny,Montgallet,2.0,2.0
205,Montgallet,Reuilly - Diderot,Daumesnil,3.0,
206,Daumesnil,Montgallet,Michel Bizot,2.0,1.0
207,Michel Bizot,Daumesnil,Porte Dorée,1.0,
208,Porte Dorée,Michel Bizot,Porte de Charenton,2.0,
209,Porte de Charenton,Porte Dorée,Porte de Saint-Cloud,1.0,
210,Porte de Saint-Cloud,Porte de Charenton,Exelmans,2.0,
211,Exelmans,Porte de Saint-Cloud,Michel-Ange - Molitor,4.0,
212,Michel-Ange - Molitor,Exelmans,Michel-Ange - Auteuil,2.0,2.0
213,Michel-Ange - Auteuil,Michel-Ange - Molitor,Jasmin,1.0,1.0
214,Jasmin,Michel-Ange - Auteuil,Ranelagh,2.0,
215,Ranelagh,Jasmin,La Muette,3.0,
216,La Muette,Ranelagh,Rue de la Pompe,2.0,2.0
217,Rue de la Pompe,La Muette,Trocadéro,4.0,
218,Trocadéro,Rue de la Pompe,Iéna,1.0,2.0
219,Iéna,Trocadéro,Alma - Marceau,2.0,
220,Alma - Marceau,Iéna,Franklin D. Roosevelt,1.0,2.0
221,Franklin D. Roosevelt,Alma - Marceau,Saint-Philippe du Roule,2.0,
222,Saint-Philippe du Roule,Franklin D. Roosevelt,Miromesnil,1.0,
223,Miromesnil,Saint-Philippe du Roule,Saint-Augustin,3.0,1.0
224,Saint-Augustin,Miromesnil,Havre-Caumartin,2.0,1.0
225,Havre-Caumartin,Saint-Augustin,Chaussée d'Antin - La Fayette,1.0,2.0
226,Chaussée d'Antin - La Fayette,Havre-Caumartin,Richelieu - Drouot,2.0,2.0
227,Richelieu - Drouot,Chaussée d'Antin - La Fayette,Grands Boulevards,4.0,2.0
228,Grands Boulevards,Richelieu - Drouot,Bonne Nouvelle,2.0,
229,Bonne Nouvelle,Grands Boulevards,Strasbourg - Saint-Denis,1.0,
230,Strasbourg - Saint-Denis,Bonne Nouvelle,République,3.0,3.0
231,République,Strasbourg - Saint-Denis,Oberkampf,2.0,2.0
